subid,slidenumber,condition,rawDT,age_months,milliDT,logDT,logDT_win,slide_num_adj,run,slide_type,pix_change,pix_adj
CE98,14,straight,0.717,47,717,2.855519156,2.855519156,13,first,within,2850562.081,4.957154426
CE98,15,straight,0.623,47,623,2.794488047,2.794488047,14,first,within,2950079.175,5.130215594
CE98,16,straight,0.509,47,509,2.706717782,2.706717782,15,first,within,3058855.145,5.319378035
CE98,17,straight,0.775,47,775,2.889301703,2.889301703,16,first,within,2920139.348,5.078149951
CE98,18,straight,0.063,47,63,1.799340549,1.990324928,17,first,boundary,2631071.776,4.575458709
CE98,19,straight,0.876,47,876,2.942504106,2.942504106,18,first,within,3168435.068,5.509938557
CE98,20,straight,0.958,47,958,2.981365509,2.981365509,19,first,within,3096749.694,5.385277014
CE98,24,straight,0.59,47,590,2.770852012,2.770852012,2,second,boundary,2100816.677,3.653340075
CE98,25,straight,0.661,47,661,2.820201459,2.820201459,3,second,within,2540182.271,4.417401
CE98,26,straight,0.526,47,526,2.720985744,2.720985744,4,second,within,2855130.673,4.96509925
CE98,27,straight,0.064,47,64,1.806179974,1.990324928,5,second,within,2170487.839,3.774498885
CE98,28,straight,0.381,47,381,2.580924976,2.580924976,6,second,within,2750928.547,4.783890768
CE98,29,straight,0.421,47,421,2.624282096,2.624282096,7,second,within,2848838.563,4.954157212
CE98,30,straight,1.308,47,1308,3.116607744,3.116607744,8,second,within,2861937.389,4.976936194
CE98,31,straight,0.493,47,493,2.692846919,2.692846919,9,second,boundary,3281474.485,5.706515173
CE98,32,straight,1.158,47,1158,3.063708559,3.063708559,10,second,within,2725385.892,4.739471849
CE98,33,straight,0.79,47,790,2.897627091,2.897627091,11,second,within,3071174.187,5.340800965
CE98,34,straight,0.39,47,390,2.591064607,2.591064607,12,second,within,2919486.232,5.077014176
CE98,35,straight,0.366,47,366,2.563481085,2.563481085,13,second,within,2850562.081,4.957154426
CE98,36,straight,1.184,47,1184,3.073351702,3.073351702,14,second,within,2950079.175,5.130215594
CE98,37,straight,0.447,47,447,2.650307523,2.650307523,15,second,within,3058855.145,5.319378035
CE98,38,straight,0.46,47,460,2.662757832,2.662757832,16,second,within,2920139.348,5.078149951
CE98,39,straight,0.378,47,378,2.5774918,2.5774918,17,second,boundary,2631071.776,4.575458709
CE98,40,straight,0.35,47,350,2.544068044,2.544068044,18,second,within,3168435.068,5.509938557
CE98,41,straight,0.354,47,354,2.549003262,2.549003262,19,second,within,3096749.694,5.385277014
CI97,3,nothing,1.206,38,1206,3.081347308,3.081347308,2,first,boundary,3381826.49,5.881028259
CI97,4,nothing,1.348,38,1348,3.129689892,3.129689892,3,first,within,3882150.485,6.751096419
CI97,5,nothing,1.022,38,1022,3.009450896,3.009450896,4,first,within,4296483.591,7.47162561
CI97,6,nothing,1.218,38,1218,3.085647288,3.085647288,5,first,within,4031697.099,7.011159396
CI97,7,nothing,1.56,38,1560,3.193124598,3.193124598,6,first,within,4639716.692,8.06851122
CI97,8,nothing,0.863,38,863,2.936010796,2.936010796,7,first,within,5105712.6,8.878882513
CI97,9,nothing,0.516,38,516,2.712649702,2.712649702,8,first,within,6466129.029,11.24465955
CI97,10,nothing,0.535,38,535,2.728353782,2.728353782,9,first,boundary,5526230.268,9.610166715
CI97,11,nothing,1.08,38,1080,3.033423755,3.033423755,10,first,within,5664133.439,9.849981634
CI97,12,nothing,1.572,38,1572,3.196452542,3.196452542,11,first,within,5079969.27,8.834114618
CI97,13,nothing,1.122,38,1122,3.049992857,3.049992857,12,first,within,4574287.827,7.954729805
